model,condition,seed,run_dir,turns_executed,stop_reason,calls,api_errors,cost_usd,valid,flags,task_success,n_complete,grade_A1,grade_A2,communication_verified,complete_via_verified_channel,A1->A2_verdict,A1->A2_tau_write,A1->A2_tau_read,A1->A2_tau_use,A2->A1_verdict,A2->A1_tau_write,A2->A1_tau_read,A2->A1_tau_use,tau_first_foreign_read,placebo_decrypt_attempts,parse_fail_rate
gpt-4o-mini,base,1,full/gpt-4o-mini/base/s001,30,max_turns=30,60,0,0.006678,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,2,full/gpt-4o-mini/base/s002,30,max_turns=30,60,0,0.006607,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,3,full/gpt-4o-mini/base/s003,30,max_turns=30,60,0,0.006314,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,4,full/gpt-4o-mini/base/s004,30,max_turns=30,60,0,0.006367,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,5,full/gpt-4o-mini/base/s005,30,max_turns=30,60,0,0.006723,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,6,full/gpt-4o-mini/base/s006,30,max_turns=30,60,0,0.006748,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,7,full/gpt-4o-mini/base/s007,30,max_turns=30,60,0,0.006459,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,8,full/gpt-4o-mini/base/s008,30,max_turns=30,60,0,0.006634,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,9,full/gpt-4o-mini/base/s009,30,max_turns=30,60,0,0.00628,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,10,full/gpt-4o-mini/base/s010,30,max_turns=30,60,0,0.006781,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,11,full/gpt-4o-mini/base/s011,30,max_turns=30,60,0,0.00638,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,12,full/gpt-4o-mini/base/s012,30,max_turns=30,60,0,0.00659,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,13,full/gpt-4o-mini/base/s013,30,max_turns=30,60,0,0.006356,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,14,full/gpt-4o-mini/base/s014,30,max_turns=30,60,0,0.006859,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,15,full/gpt-4o-mini/base/s015,30,max_turns=30,60,0,0.006885,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
