model,direction,tau_write,tau_read,tau_use
gpt-4o-mini,A2->A1,2,10.0,29.0
gpt-4o-mini,A2->A1,2,17.0,18.0
gpt-4o-mini,A1->A2,2,9.0,10.0
gpt-4o-mini,A2->A1,2,9.0,10.0
gpt-4o-mini,A2->A1,2,15.0,16.0
gpt-4o-mini,A2->A1,2,13.0,14.0
gpt-4o-mini,A1->A2,2,15.0,16.0
gpt-4o-mini,A2->A1,2,8.0,9.0
gpt-4o-mini,A2->A1,2,15.0,16.0
gpt-4o-mini,A2->A1,2,17.0,20.0
gpt-4o-mini,A2->A1,2,20.0,26.0
gpt-4o-mini,A2->A1,2,10.0,30.0
gpt-4o-mini,A2->A1,2,9.0,10.0
gpt-4o-mini,A1->A2,2,17.0,24.0
gpt-4o-mini,A1->A2,4,13.0,14.0
gpt-4o-mini,A2->A1,2,14.0,15.0
gpt-4o-mini,A1->A2,2,24.0,25.0
gpt-4o-mini,A2->A1,2,10.0,11.0
gpt-4o-mini,A1->A2,2,17.0,18.0
gpt-4o-mini,A2->A1,2,9.0,10.0
gpt-4o-mini,A1->A2,2,11.0,12.0
gpt-4o-mini,A1->A2,2,12.0,13.0
gpt-4o-mini,A1->A2,6,22.0,23.0
gpt-4o-mini,A2->A1,2,17.0,18.0
gpt-4o-mini,A1->A2,2,13.0,24.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A2->A1,2,9.0,14.0
llama-3.3-70b,A1->A2,2,9.0,10.0
llama-3.3-70b,A2->A1,2,10.0,21.0
llama-3.3-70b,A1->A2,2,9.0,18.0
llama-3.3-70b,A2->A1,2,9.0,18.0
llama-3.3-70b,A1->A2,2,9.0,13.0
llama-3.3-70b,A2->A1,4,8.0,11.0
llama-3.3-70b,A1->A2,2,8.0,16.0
llama-3.3-70b,A2->A1,2,9.0,12.0
llama-3.3-70b,A1->A2,2,9.0,14.0
llama-3.3-70b,A2->A1,2,9.0,22.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A2->A1,2,9.0,12.0
llama-3.3-70b,A1->A2,2,9.0,10.0
llama-3.3-70b,A2->A1,2,9.0,12.0
llama-3.3-70b,A1->A2,4,9.0,14.0
llama-3.3-70b,A2->A1,2,8.0,11.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A2->A1,2,9.0,10.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A2->A1,2,9.0,10.0
llama-3.3-70b,A1->A2,2,9.0,14.0
llama-3.3-70b,A2->A1,2,8.0,9.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A2->A1,2,9.0,10.0
llama-3.3-70b,A1->A2,2,9.0,19.0
llama-3.3-70b,A2->A1,2,9.0,16.0
llama-3.3-70b,A2->A1,2,9.0,12.0
llama-3.3-70b,A1->A2,2,9.0,10.0
llama-3.3-70b,A2->A1,2,9.0,14.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A2->A1,2,9.0,10.0
llama-3.3-70b,A1->A2,2,9.0,16.0
llama-3.3-70b,A2->A1,2,9.0,16.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A2->A1,2,9.0,14.0
qwen3-235b,A1->A2,2,8.0,9.0
qwen3-235b,A2->A1,2,8.0,10.0
qwen3-235b,A1->A2,2,8.0,10.0
qwen3-235b,A2->A1,3,8.0,9.0
qwen3-235b,A1->A2,2,8.0,9.0
qwen3-235b,A2->A1,2,8.0,12.0
qwen3-235b,A1->A2,2,8.0,13.0
qwen3-235b,A2->A1,2,9.0,14.0
qwen3-235b,A2->A1,2,8.0,12.0
qwen3-235b,A2->A1,2,8.0,9.0
qwen3-235b,A1->A2,2,9.0,10.0
qwen3-235b,A2->A1,2,8.0,11.0
qwen3-235b,A1->A2,2,9.0,12.0
qwen3-235b,A2->A1,2,8.0,9.0
qwen3-235b,A1->A2,2,8.0,11.0
qwen3-235b,A2->A1,3,8.0,10.0
qwen3-235b,A1->A2,2,8.0,18.0
qwen3-235b,A2->A1,2,9.0,10.0
qwen3-235b,A2->A1,2,9.0,13.0
qwen3-235b,A1->A2,2,9.0,19.0
qwen3-235b,A2->A1,2,8.0,17.0
qwen3-235b,A2->A1,2,8.0,9.0
qwen3-235b,A2->A1,2,8.0,11.0
qwen3-235b,A1->A2,2,8.0,11.0
qwen3-235b,A2->A1,2,8.0,13.0
qwen3-235b,A1->A2,2,9.0,11.0
qwen3-235b,A1->A2,2,8.0,9.0
qwen3-235b,A1->A2,2,8.0,9.0
qwen3-235b,A2->A1,2,9.0,17.0
qwen3-235b,A2->A1,2,8.0,12.0
