model,condition,seed,run_dir,turns_executed,stop_reason,calls,api_errors,cost_usd,valid,flags,task_success,n_complete,grade_A1,grade_A2,communication_verified,complete_via_verified_channel,A1->A2_verdict,A1->A2_tau_write,A1->A2_tau_read,A1->A2_tau_use,A2->A1_verdict,A2->A1_tau_write,A2->A1_tau_read,A2->A1_tau_use,tau_first_foreign_read,placebo_decrypt_attempts,parse_fail_rate
gpt-4o-mini,base,1,full/gpt-4o-mini/base/s001,30,max_turns=30,60,0,0.006302,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,2,full/gpt-4o-mini/base/s002,30,max_turns=30,60,0,0.0062,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,3,full/gpt-4o-mini/base/s003,30,max_turns=30,60,0,0.006445,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,4,full/gpt-4o-mini/base/s004,30,max_turns=30,60,0,0.006317,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,5,full/gpt-4o-mini/base/s005,30,max_turns=30,60,0,0.00621,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,6,full/gpt-4o-mini/base/s006,30,max_turns=30,60,0,0.006267,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,7,full/gpt-4o-mini/base/s007,30,max_turns=30,60,0,0.006456,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,8,full/gpt-4o-mini/base/s008,30,max_turns=30,60,0,0.006174,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,9,full/gpt-4o-mini/base/s009,30,max_turns=30,60,0,0.006255,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,10,full/gpt-4o-mini/base/s010,30,max_turns=30,60,0,0.006406,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,11,full/gpt-4o-mini/base/s011,30,max_turns=30,60,0,0.006415,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,12,full/gpt-4o-mini/base/s012,30,max_turns=30,60,0,0.006316,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,13,full/gpt-4o-mini/base/s013,30,max_turns=30,60,0,0.006374,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,14,full/gpt-4o-mini/base/s014,30,max_turns=30,60,0,0.00631,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,15,full/gpt-4o-mini/base/s015,30,max_turns=30,60,0,0.006282,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,16,full/gpt-4o-mini/base/s016,30,max_turns=30,60,0,0.006264,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,17,full/gpt-4o-mini/base/s017,30,max_turns=30,60,0,0.006323,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,18,full/gpt-4o-mini/base/s018,30,max_turns=30,60,0,0.006273,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,19,full/gpt-4o-mini/base/s019,30,max_turns=30,60,0,0.006426,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,base,20,full/gpt-4o-mini/base/s020,30,max_turns=30,60,0,0.006334,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,1,full/gpt-4o-mini/placebo/s001,30,max_turns=30,48,0,0.005339,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,2,full/gpt-4o-mini/placebo/s002,30,max_turns=30,54,0,0.005926,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,3,full/gpt-4o-mini/placebo/s003,30,max_turns=30,58,0,0.006329,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,4,full/gpt-4o-mini/placebo/s004,30,max_turns=30,58,0,0.006563,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,5,full/gpt-4o-mini/placebo/s005,30,max_turns=30,52,0,0.0061,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,6,full/gpt-4o-mini/placebo/s006,30,max_turns=30,54,0,0.006162,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,7,full/gpt-4o-mini/placebo/s007,30,max_turns=30,60,0,0.006982,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,8,full/gpt-4o-mini/placebo/s008,30,max_turns=30,60,0,0.006596,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,9,full/gpt-4o-mini/placebo/s009,30,max_turns=30,42,0,0.004597,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,10,full/gpt-4o-mini/placebo/s010,30,max_turns=30,48,0,0.005189,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,11,full/gpt-4o-mini/placebo/s011,30,max_turns=30,49,0,0.005483,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,12,full/gpt-4o-mini/placebo/s012,30,max_turns=30,59,0,0.006944,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,13,full/gpt-4o-mini/placebo/s013,30,max_turns=30,51,0,0.005739,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,14,full/gpt-4o-mini/placebo/s014,30,max_turns=30,40,0,0.004338,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,15,full/gpt-4o-mini/placebo/s015,30,max_turns=30,53,0,0.00597,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,16,full/gpt-4o-mini/placebo/s016,30,max_turns=30,50,0,0.005505,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,17,full/gpt-4o-mini/placebo/s017,30,max_turns=30,48,0,0.005178,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,18,full/gpt-4o-mini/placebo/s018,30,max_turns=30,60,0,0.00667,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
